run,seed,escaped,rounds,player_turns,filled_cells,missing,movement_actions,gather_actions,battle_rounds,hide_actions,cards_spent,rescues,dino_spawns,collapsed_tiles,cycling_departures
1,24001,True,24,95,60,{},58,35,15,23,164,0,1,7,5
2,31920,False,30,120,58,"{""cooler"": 2}",106,22,12,30,201,0,0,0,6
3,39839,False,30,120,57,"{""battery"": 3}",83,43,16,35,215,1,1,18,6
4,47758,True,23,89,60,{},67,21,14,12,142,0,1,2,7
5,55677,False,30,120,57,"{""battery"": 3}",91,60,15,26,224,0,2,6,4
6,63596,True,17,65,60,{},41,22,8,20,124,0,0,0,3
7,71515,True,19,76,60,{},53,24,14,20,134,1,1,6,0
8,79434,True,25,97,60,{},60,45,12,23,172,0,2,6,1
9,87353,False,30,120,57,"{""battery"": 3}",75,84,5,27,228,0,2,4,4
10,95272,True,19,76,60,{},45,31,7,24,148,0,1,5,2
